,Unnamed: 0,signature size,amount of conditonals,index ckb,index query,compile time ckb (ms),compile time query (ms),solve time query (ms),result c representation,result system z,result system p
18558,18558,80,80,27,19,58176.24490814062,1562.41455078125,137063.508827,sat,False,False
22702,22702,100,100,36,2,92985.79928525,197.918701171875,137023.064088,sat,False,False
23762,23762,100,100,89,2,157355.61951657812,4741.770263671875,132432.375959,sat,False,False
22395,22395,100,100,20,15,71023.37912317188,440.60107421875,132295.472404,unsat,True,False
15800,15800,60,60,90,1,43804.2532013125,1316.68212890625,130436.632688,sat,False,False
23902,23902,100,100,96,2,78889.51592070312,19490.91455078125,130313.900222,unsat,True,True
23765,23765,100,100,89,5,157355.61951657812,3355.351318359375,128873.576064,unsat,True,False
21721,21721,90,90,87,1,582099.0346640156,71.586181640625,126758.377771,unsat,True,True
17370,17370,70,70,68,11,28046.21523865625,188.33349609375,124022.894003,sat,True,False
23775,23775,100,100,89,15,157355.61951657812,9874.1611328125,121741.652878,unsat,True,False
18760,18760,80,80,38,1,113293.51162292188,4608.5068359375,121153.860778,unsat,True,True
19501,19501,80,80,75,2,87063.69877489062,19.6474609375,120764.543361,unsat,True,True
15652,15652,60,60,82,13,8918.668771046876,145.444580078125,119051.719831,unsat,False,False
21142,21142,90,90,58,2,70229.48912154688,317.216552734375,117074.677767,unsat,True,True
17362,17362,70,70,68,3,28046.21523865625,454.565673828125,116857.130926,unsat,True,False
23764,23764,100,100,89,4,157355.61951657812,6825.77490234375,116613.2487,unsat,True,False
23542,23542,100,100,78,2,73343.52648298438,396.6748046875,113611.836309,sat,False,False
14171,14171,60,60,8,12,23392.781964984373,1157.811767578125,113121.32041,sat,False,False
21291,21291,90,90,65,11,97025.01137295311,15003.109375,112887.308565,unsat,True,False
19420,19420,80,80,71,1,23207.98653109375,348.797119140625,112453.452554,sat,False,False
18222,18222,80,80,11,3,35877.28513214063,5646.95947265625,108168.114923,sat,False,False
23766,23766,100,100,89,6,157355.61951657812,23802.580322265625,105846.58391,sat,False,False
22385,22385,100,100,20,5,71023.37912317188,5869.32470703125,104128.326096,unsat,True,False
14928,14928,60,60,46,9,46906.98059201562,993.063232421875,99149.679933,unsat,True,False
19058,19058,80,80,52,19,85190.3261888125,6634.70947265625,97595.492384,unsat,True,False
22718,22718,100,100,36,18,92985.79928525,3136.523193359375,95350.175499,unsat,False,False
23778,23778,100,100,89,18,157355.61951657812,1529.3076171875,94620.712015,unsat,True,False
21285,21285,90,90,65,5,97025.01137295311,433.0458984375,94544.400075,sat,False,False
16374,16374,70,70,18,15,58364.90614904688,2329.537841796875,94075.679538,sat,False,False
15809,15809,60,60,90,10,43804.2532013125,5973.46826171875,93897.37172,sat,False,False
22444,22444,100,100,23,4,45375.620567375,837.865966796875,92741.153052,sat,False,False
22465,22465,100,100,24,5,62349.454374125,6834.831298828125,92554.505486,sat,False,False
19433,19433,80,80,71,14,23207.98653109375,311.529052734375,92485.699172,unsat,False,False
23912,23912,100,100,96,12,78889.51592070312,44434.98046875,92077.25961,sat,False,False
23025,23025,100,100,52,5,64802.47251317187,58.662353515625,91670.978064,sat,False,False
22383,22383,100,100,20,3,71023.37912317188,762.84912109375,91640.861602,unsat,False,False
20923,20923,90,90,47,3,99079.34025745312,7511.76708984375,91463.05475,unsat,True,False
22384,22384,100,100,20,4,71023.37912317188,489.15771484375,91212.075614,unsat,True,False
23777,23777,100,100,89,17,157355.61951657812,9876.002197265623,90457.41932,unsat,True,False
23040,23040,100,100,52,20,64802.47251317187,369.73583984375,90293.73014,sat,False,False
19505,19505,80,80,75,6,87063.69877489062,118.5625,90182.818276,sat,False,False
23024,23024,100,100,52,4,64802.47251317187,13440.591796875,87198.910924,unsat,True,False
17369,17369,70,70,68,10,28046.21523865625,621.8369140625,87119.01994,sat,False,False
17600,17600,70,70,80,1,42502.6234229375,241.60791015625,85297.068876,unsat,True,True
