,index,result,preprocessing_time,inference_time,translation_time,preprocessing_timeout,inference_timeout,belief_base,queries,query,inference_system,solver,optimizer
3370,8.0,False,0.0,2966.2,0.5,False,False,randomTest_100_120_75,,"((ymmnlr,(gifnhc;yhuhsu))|((!(!((!(!vqsgfy)),(!fhmihp)))),((oubbuv;agduid);fxynqr)))",c-inference,z3,rc2
3187,6.0,False,0.0,2873.6,0.5,False,False,randomTest_100_120_38,,"(((!(!(!(eahelr;edpars)))),((!exfjyb),(!(btgrwx;fcodan))))|nekooe)",c-inference,z3,rc2
3484,7.0,False,0.0,2741.5,0.5,False,False,randomTest_100_120_91,,"(jwjbcu|((!gqawkf);(!(gthheh,pvfzht))))",c-inference,z3,rc2
2946,1.0,False,15176.7,2723.5,1306.6,False,False,randomTest_100_120_0,,"(((!((brndcf,(ntncnp;flbrwm));(aqifud;rfraik))),fizkur)|(qkzxvg;(frlkos,(gjknrr;nmqutl))))",c-inference,z3,rc2
3349,8.0,False,0.0,2701.0,0.6,False,False,randomTest_100_120_72,,"((((shaysr;(mkrqoa,ipiyaw)),(!zqaxbs)),(!(evyqxe,(!((!xnumxh),wntrch)))))|iudukx)",c-inference,z3,rc2
3487,10.0,False,0.0,2622.9,0.4,False,False,randomTest_100_120_91,,"(oturpx|(((fewigi,wqwikn),hrlprm),(!(zelvto,ybhwgt))))",c-inference,z3,rc2
2995,6.0,False,0.0,2355.2000000000003,0.6,False,False,randomTest_100_120_8,,"((ygiloz,(fsyfet;(!bbmtjl)))|(vtylde,(!pczxgh)))",c-inference,z3,rc2
2949,4.0,False,0.0,2116.8,0.6,False,False,randomTest_100_120_0,,"(rbalvj|((!vvozbx),(!((!dujrot);((kkzedr;efrris);(!lvwfqm))))))",c-inference,z3,rc2
3515,8.0,False,0.0,2096.9,0.5,False,False,randomTest_100_120_94,,"(((!kfvswz);(aatzop;pnxbqe))|((!gtdfak),(!wyzzjg)))",c-inference,z3,rc2
3371,9.0,False,0.0,2043.1,0.5,False,False,randomTest_100_120_75,,"(((!((!gbfadm);(mzioxl;(!babinw)))),(!((jchule,bsfzzj),(!(!(!xyshbk))))))|((!((!frljpr);lkttbg));(altipq,(!ygbagw))))",c-inference,z3,rc2
3354,2.0,False,0.0,1996.7,0.6,False,False,randomTest_100_120_74,,"(((!vkacsd);pniwbb)|((!fwnbkj),aoxths))",c-inference,z3,rc2
3445,1.0,False,23287.300000000003,1983.5,1330.5,False,False,randomTest_100_120_85,,"(((xwixop,(!mkuxyv));((bwhryv;txkdqw);(cgunqt;kqeozx)))|vcrhen)",c-inference,z3,rc2
3464,10.0,True,0.0,1913.6,0.6,False,False,randomTest_100_120_86,,"((jhwkhp;((qtebvg,(ncqhmf,khfvfe));ltpdhi))|((!(vtemvu;(azamcc;uzcouj)));((!(!jbnfch)),(!cilbiy))))",c-inference,z3,rc2
3182,1.0,False,26197.1,1865.0,1304.6999999999998,False,False,randomTest_100_120_38,,"(((!((dpifbx;(xjocmj,twqonr)),djedmx)),(!(!pmrfuo)))|((nekooe,yyctxl),ypquub))",c-inference,z3,rc2
3274,8.0,False,0.0,1725.1,0.5,False,False,randomTest_100_120_60,,"(((gzhisq,awgxxs),pxoqmf)|((((!((!usloae);(!(!twehid)))),(fjyjtq;tqrnnp)),(qfotkg;jexylw)),xqpcdn))",c-inference,z3,rc2
2964,9.0,True,0.0,1677.3,0.4,False,False,randomTest_100_120_1,,"(iztkme|(zckmpf,(gixzvz,jttnzn)))",c-inference,z3,rc2
3257,2.0,False,0.0,1662.0,0.4,False,False,randomTest_100_120_58,,"(((owrzrx;wqaguw);(((!(!reusjm)),(aoflmh,(!vgtkni))),(!rbwuwc)))|(tkghuw,omtpkg))",c-inference,z3,rc2
3457,3.0,False,0.0,1609.2,0.6,False,False,randomTest_100_120_86,,"((wwoclx;zjgiki)|(djbtte;((jhwkhp,gtjmre),(!kkkhdg))))",c-inference,z3,rc2
3022,1.0,False,26432.0,1442.1,1325.4,False,False,randomTest_100_120_13,,"(budjhy|((mojcad,(qbrlmk,(xcyflt,vdwdnw)));(rmxboa;((!krdwia);guycjm))))",c-inference,z3,rc2
3172,2.0,False,0.0,1387.5,0.6,False,False,randomTest_100_120_36,,"(((qeqkja,rrtngk),jhqvry)|((!(!zncgsf));(!cbyphu)))",c-inference,z3,rc2
2970,2.0,True,0.0,1373.4,0.6,False,False,randomTest_100_120_5,,"(((((!nvyvfe);(yljlul,(tlbpxc,ifbxsl)));((!naoorp);xcowvi));(!(!akpvzv)))|((ldjbew;cmqify);(!erszht)))",c-inference,z3,rc2
3362,10.0,False,0.0,1330.8000000000002,0.6,False,False,randomTest_100_120_74,,"((pbzktb,(rwifos;yuygqo))|((((irjoem;aoxths),jdsirw);(bmlurw;rdikzo));jaldkx))",c-inference,z3,rc2
3462,8.0,False,0.0,1264.8,0.5,False,False,randomTest_100_120_86,,"((lkxtlf;(wwoclx,(fajhyg;ammwuk)))|(((!(!ijbwal)),(!(!(djbtte;sroonh)))),(vejliy;(ltpdhi,wtjdnt))))",c-inference,z3,rc2
3171,1.0,True,82359.2,1212.0,2656.2,False,False,randomTest_100_120_36,,"(((dmcufv;zjrhgw);((!yqijzj);yyoycr))|(((akpnck,zotbyl);rpumgd),ihxojc))",c-inference,z3,rc2
